STN---,WBAN,YEARMODA,TEMP,DEWP,SLP,STP,VISIB,WDSP,MXSPD,GUST,MAX,MIN,PRCP,SNDP,FRSHTT,weather_alert
10010,99999,20200202,18.5,11.5,,997.8,10.9,13.1,17.5,21.0,22.3,15.3,0.06,,1000,1
10010,99999,20200203,15.4,8.5,1003.9,1002.7,3.8,14.3,22.9,29.5,17.8,12.0,0.01,,1000,1
10010,99999,20200204,16.5,6.9,1005.2,1004.0,4.0,14.9,21.4,36.5,18.1,12.4,0.0,,1000,1
10010,99999,20200205,17.1,9.6,1011.4,1010.2,7.6,10.6,23.3,36.9,23.0,14.0,0.03,,1000,1
10010,99999,20200206,33.7,29.7,1001.5,1000.3,4.9,19.3,31.3,47.8,41.0,17.8,0.01,,111000,1
10010,99999,20200207,37.1,33.0,993.2,992.1,6.7,16.0,31.1,34.4,40.8,35.8,0.24,,10000,1
10010,99999,20200208,36.3,35.0,979.2,978.1,1.4,10.9,15.5,18.3,37.4,35.1,0.42,,110000,1
10010,99999,20200209,35.7,33.0,960.5,959.4,5.3,17.8,27.2,34.8,38.7,32.9,0.37,0.4,10000,1
10010,99999,20200210,32.5,27.7,965.2,964.1,9.3,21.0,33.8,51.1,36.7,28.6,0.02,,0,1
10010,99999,20200211,25.3,20.9,977.9,976.8,5.3,26.8,31.1,43.1,30.2,18.3,0.01,,1000,1
10010,99999,20200212,18.4,12.1,988.3,987.1,2.2,21.1,33.0,45.5,23.2,14.5,0.06,,1000,1
10010,99999,20200213,21.8,15.6,999.5,998.3,3.8,18.4,25.3,38.5,22.8,20.5,0.12,,1000,1
10010,99999,20200214,23.8,16.6,1003.6,1002.4,16.8,15.6,25.3,,31.3,18.9,0.07,,0,1
10010,99999,20200215,33.8,32.1,982.6,981.5,2.1,20.9,35.4,46.6,36.5,31.3,0.0,,110000,1
10010,99999,20200216,35.6,30.6,971.2,970.1,2.5,26.4,35.0,55.9,37.4,33.3,0.1,,0,1
10010,99999,20200217,30.7,23.5,979.9,978.8,6.9,30.6,41.6,57.1,35.8,28.2,0.0,,1000,1
10010,99999,20200218,23.7,17.6,995.3,994.1,9.3,16.3,23.3,30.5,28.8,17.4,0.0,,1000,1
10010,99999,20200219,24.8,16.6,996.8,995.6,16.1,4.7,9.7,12.8,25.7,22.6,0.02,,0,1
10010,99999,20200220,29.5,24.1,978.4,977.3,12.0,20.6,36.5,52.6,33.8,22.5,0.0,,10000,1
10010,99999,20200221,26.7,19.8,970.9,969.7,6.7,33.2,43.5,55.2,28.4,25.3,0.0,,1000,1
10010,99999,20200222,25.1,16.1,974.6,973.4,5.6,22.1,33.0,41.2,25.7,23.7,0.0,,1000,1
10010,99999,20200223,18.7,12.0,990.1,988.9,7.8,13.5,23.3,25.4,23.5,15.4,0.11,,1000,1
10010,99999,20200224,16.2,5.6,1000.1,998.9,7.6,9.5,13.6,21.4,17.4,14.9,0.03,,1000,1
10010,99999,20200225,18.2,9.2,998.5,997.3,6.4,19.4,33.2,41.2,20.8,14.4,0.02,,0,1
10010,99999,20200226,18.5,10.3,1002.5,1001.3,5.4,21.2,28.4,37.1,21.9,16.7,0.02,,1000,1
10010,99999,20200227,18.2,10.8,1003.3,1002.1,7.0,17.2,23.5,29.5,20.3,15.3,0.01,,1000,1
10010,99999,20200228,17.8,6.0,1007.3,1006.1,15.5,12.2,18.5,27.6,20.3,16.2,0.0,,0,1
10010,99999,20200229,24.1,14.7,1006.5,1005.3,12.4,19.9,25.3,32.4,27.7,16.5,0.0,,0,1
10010,99999,20200301,30.1,19.6,1005.5,1004.3,10.3,20.0,26.0,31.7,32.4,26.2,0.0,,1000,1
10010,99999,20200302,31.8,22.7,1010.4,1009.2,18.1,10.9,15.5,18.1,33.1,29.7,0.0,,0,0
10010,99999,20200303,33.8,27.1,1010.6,1009.4,10.5,15.6,22.1,31.3,35.1,31.6,0.0,,11000,1
10010,99999,20200304,34.4,32.9,994.8,993.6,3.0,8.2,19.4,23.1,36.5,33.3,0.07,,110000,1
10010,99999,20200305,30.2,27.7,992.7,991.5,9.3,12.7,26.6,33.8,33.1,26.6,0.08,,0,1
10010,99999,20200306,23.1,19.6,996.9,995.7,4.5,24.2,26.8,38.1,26.2,19.4,0.0,,100000,1
10010,99999,20200307,17.6,10.7,1002.3,1001.1,7.8,13.6,19.4,32.4,20.7,16.0,0.02,,10000,1
10010,99999,20200308,18.7,13.0,996.5,995.3,4.5,25.3,33.4,47.6,23.5,15.1,0.01,,1000,1
10010,99999,20200309,15.4,9.0,1002.5,1001.3,6.7,22.5,33.0,46.0,23.4,12.2,0.02,,1000,1
10010,99999,20200310,20.3,12.5,1001.4,1000.2,15.0,8.1,13.6,19.0,25.2,13.1,0.0,,0,0
10010,99999,20200311,18.0,12.7,998.0,996.8,8.1,18.9,33.4,44.9,25.2,8.6,0.0,,0,1
10010,99999,20200312,8.9,1.5,1007.2,1006.0,2.0,18.6,22.1,36.3,11.7,6.6,0.03,,1000,1
10010,99999,20200313,12.0,2.1,1015.8,1014.6,4.7,10.6,18.6,37.9,13.8,8.6,0.03,,1000,1
10010,99999,20200314,15.0,6.3,1006.4,1005.2,12.0,11.1,15.5,24.9,16.3,10.4,0.01,,0,1
10010,99999,20200315,17.1,11.2,995.8,994.6,9.9,11.8,37.1,54.6,25.3,13.1,0.2,,1000,1
10010,99999,20200316,14.8,11.6,998.4,997.2,5.3,16.3,32.6,51.5,26.2,11.8,0.17,,1000,1
10010,99999,20200317,20.2,14.1,994.2,993.0,7.1,24.7,37.1,52.1,22.8,15.1,0.04,,0,1
10010,99999,20200318,19.2,10.8,1012.9,1011.7,9.4,16.8,25.8,35.4,22.1,17.2,0.01,,1000,1
10010,99999,20200319,17.6,9.3,1025.4,1024.2,6.5,9.7,15.9,23.9,19.2,14.5,0.0,,11000,1
10010,99999,20200320,22.1,16.0,1023.8,1022.6,10.5,5.9,16.1,22.0,33.1,10.2,0.02,,1000,1
10010,99999,20200321,34.2,31.9,1004.6,1003.4,4.2,13.7,23.9,31.3,35.6,30.0,0.01,,0,1
10010,99999,20200322,29.7,23.8,994.9,993.7,7.0,12.8,21.8,37.1,31.5,26.4,0.01,,1000,1
10010,99999,20200323,33.9,32.3,976.0,974.9,2.0,16.4,23.3,28.4,36.1,27.7,0.22,,11000,1
10010,99999,20200324,27.6,23.9,979.6,978.4,2.6,16.6,32.1,43.1,32.4,22.3,0.18,,11000,1
10010,99999,20200325,21.2,14.5,1001.8,1000.6,10.9,5.3,13.6,,23.5,19.2,0.15,,1000,1
10010,99999,20200326,26.4,22.1,1000.9,999.7,10.7,7.5,22.7,28.4,28.4,21.9,0.02,,101000,1
10010,99999,20200327,17.4,9.5,1019.1,1017.9,2.4,18.9,24.3,39.2,27.1,14.0,0.11,,0,1
10010,99999,20200328,21.5,10.1,1030.7,1029.5,10.1,8.8,17.3,33.8,27.5,15.1,0.02,,0,1
10010,99999,20200329,26.7,17.7,1028.3,1027.1,36.2,8.1,16.9,20.8,30.4,23.4,0.0,,0,0
10010,99999,20200330,30.1,26.9,1007.0,1005.8,5.3,21.2,37.5,47.0,34.0,22.5,0.0,,111000,1
10010,99999,20200331,21.6,16.7,1011.8,1010.6,7.0,22.4,28.4,49.3,27.7,18.7,0.01,,10000,1
10010,99999,20200401,28.8,24.9,1002.6,1001.4,4.8,18.2,26.4,40.2,32.2,23.0,0.04,,1000,1
10010,99999,20200402,20.4,14.4,1006.4,1005.2,3.3,20.9,27.8,38.7,29.8,18.5,0.07,,1000,1
10010,99999,20200403,13.6,8.0,1011.4,1010.2,1.2,26.6,34.4,47.6,21.7,10.0,0.03,,100000,1
10010,99999,20200404,10.3,3.6,1017.2,1016.0,1.5,17.4,25.1,45.1,13.1,8.2,0.06,,1000,1
10010,99999,20200405,23.3,19.3,1018.6,1017.4,3.6,18.0,25.6,34.6,31.6,12.9,0.09,,1000,1
10010,99999,20200406,34.0,31.6,995.2,994.0,4.6,26.1,33.2,49.3,38.5,28.6,0.1,,10000,1
10010,99999,20200407,32.5,30.0,991.0,989.8,2.7,16.2,35.7,47.8,38.1,27.1,0.21,,111000,1
10010,99999,20200408,24.6,17.9,1008.8,1007.6,5.1,21.9,33.6,48.6,26.6,22.3,0.06,,1000,1
10010,99999,20200409,23.8,14.0,1021.1,1019.9,15.1,5.7,9.9,20.8,25.9,21.4,0.01,,1000,1
10010,99999,20200410,28.8,20.0,1019.7,1018.5,39.9,13.8,25.1,31.3,31.6,24.6,0.0,,0,1
10010,99999,20200413,32.5,28.2,1004.9,1003.7,16.2,23.0,35.0,47.0,37.8,23.4,0.69,,11000,1
10010,99999,20200414,28.6,23.5,984.9,983.8,7.6,19.6,39.0,52.3,36.0,21.0,0.14,,1000,1
10010,99999,20200415,25.2,19.1,992.8,991.6,3.5,16.8,24.5,48.0,27.1,21.9,0.08,,1000,1
10010,99999,20200416,31.0,23.5,1007.8,1006.6,35.7,10.7,18.1,44.5,35.8,25.7,0.0,,0,1
10010,99999,20200417,37.9,34.3,1009.8,1008.6,11.9,20.7,29.9,40.0,41.9,31.5,0.0,,10000,1
10010,99999,20200418,37.2,34.4,1013.7,1012.5,7.3,13.2,30.9,45.3,47.1,34.0,0.0,,110000,1
10010,99999,20200419,38.5,23.1,1015.6,1014.4,28.6,17.6,30.9,43.3,42.1,33.6,0.0,,100000,1
10010,99999,20200421,36.1,30.8,1033.5,1032.3,14.6,4.2,7.4,16.5,37.6,34.2,0.0,,100000,1
10010,99999,20200422,34.0,33.1,1025.7,1024.5,0.6,6.1,14.6,22.9,35.8,32.5,0.02,,110000,1
10010,99999,20200423,33.0,30.5,1021.3,1020.1,3.8,8.9,26.6,34.6,36.1,29.3,0.0,,110000,1
10010,99999,20200424,29.8,28.1,1019.9,1018.7,5.1,6.7,20.8,25.6,32.0,27.5,0.0,,111000,1
10010,99999,20200425,28.4,24.8,1024.7,1023.5,13.4,15.2,19.0,28.9,30.2,26.2,0.0,,1000,1
10010,99999,20200426,27.6,23.9,1025.3,1024.1,24.9,4.6,9.3,15.5,30.0,24.4,0.0,,0,0
10010,99999,20200428,30.6,27.5,1011.0,1009.8,23.3,5.1,8.4,25.8,33.6,28.6,0.0,,0,1
10010,99999,20200429,35.6,32.3,1009.8,1008.6,13.6,6.6,11.1,17.7,38.1,28.6,0.01,,11000,1
10010,99999,20200430,31.2,27.5,1014.1,1012.9,10.9,16.8,26.6,31.9,37.2,28.2,0.0,,1000,1
10010,99999,20200501,28.1,24.5,1014.8,1013.6,22.8,13.1,19.6,26.2,29.3,26.6,0.0,,11000,1
10010,99999,20200502,27.7,20.8,1016.4,1015.2,43.5,11.0,17.1,23.7,29.3,26.2,0.0,,0,0
10010,99999,20200503,28.2,19.9,1016.7,1015.5,46.6,5.5,12.4,15.9,31.3,26.4,0.0,,0,0
10010,99999,20200504,34.0,31.6,1000.8,999.6,7.9,18.8,28.2,37.5,35.8,28.2,0.05,,10000,1
10010,99999,20200505,28.0,23.9,995.6,994.4,3.2,16.0,23.5,49.0,35.8,24.8,0.41,,11000,1
10010,99999,20200506,28.5,22.6,1016.3,1015.1,28.0,14.9,32.8,42.9,30.0,27.0,0.11,,1000,1
10010,99999,20200507,29.0,22.4,1017.3,1016.1,32.5,9.9,16.5,23.1,33.4,24.4,0.01,,1000,1
10010,99999,20200508,21.1,12.7,1019.7,1018.5,13.5,17.8,22.0,36.3,26.1,18.5,0.0,,11100,1
10010,99999,20200509,21.3,14.9,1021.3,1020.1,2.4,22.6,26.4,46.6,22.5,18.5,0.06,,1000,1
10010,99999,20200510,22.2,16.1,1022.8,1021.6,10.7,16.3,28.7,36.5,23.0,20.5,0.05,,1000,1
10010,99999,20200511,20.1,13.1,1024.7,1023.5,9.0,21.5,27.6,40.6,23.0,17.6,0.01,,1000,1
10010,99999,20200512,25.0,16.2,1018.6,1017.4,31.0,14.5,20.4,38.5,28.8,20.1,0.02,,1000,1
10010,99999,20200513,24.8,17.4,1009.2,1008.0,14.0,16.2,22.3,41.2,27.9,23.2,0.0,,1000,1
10010,99999,20200514,29.3,26.1,1004.0,1002.8,2.4,13.3,22.3,40.6,31.3,26.6,0.06,,1000,1
10010,99999,20200515,30.2,28.2,1008.9,1007.7,1.7,26.9,36.7,51.9,32.0,28.9,0.06,,1000,1
10010,99999,20200516,33.7,31.2,1012.2,1011.0,5.4,24.3,31.7,47.8,35.6,29.5,0.21,,100000,1
10010,99999,20200517,36.8,24.7,1023.3,1022.1,12.4,18.9,26.8,37.1,39.9,33.3,0.0,,100000,1
10010,99999,20200518,29.9,26.5,1018.9,1017.7,12.2,9.9,28.9,33.0,36.9,26.8,0.0,,101000,1
10010,99999,20200519,29.6,26.3,1018.1,1016.8,22.8,16.8,22.7,34.4,30.7,26.6,0.01,,1000,1
10010,99999,20200520,31.6,28.9,1020.6,1019.4,23.3,7.1,11.7,18.3,34.2,29.3,0.0,,100000,1
10010,99999,20200521,35.4,33.2,1014.4,1013.2,11.6,11.1,18.6,24.5,37.4,32.5,0.0,,10000,1
10010,99999,20200522,33.9,32.0,1007.5,1006.3,4.5,4.3,7.6,15.9,38.1,30.7,0.14,,100000,1
10010,99999,20200523,30.7,27.4,1001.6,1000.4,12.7,19.0,29.5,39.8,35.8,28.9,0.0,,101000,1
10010,99999,20200524,32.4,29.5,1004.1,1002.9,15.9,16.6,26.6,37.9,34.5,30.6,0.01,,1000,1
10010,99999,20200525,34.9,33.6,1003.3,1002.1,5.2,8.1,18.6,24.7,37.8,31.3,0.0,,110000,1
10010,99999,20200526,36.3,34.9,998.0,996.8,4.6,6.3,14.2,18.1,39.9,34.7,0.08,,110000,1
10010,99999,20200527,33.7,31.5,1006.8,1005.6,7.1,11.8,32.6,38.5,37.4,30.4,0.1,,11000,1
10010,99999,20200528,36.5,34.1,1011.4,1010.1,3.2,12.4,22.5,28.7,42.6,30.7,0.05,,110000,1
10010,99999,20200529,34.5,31.8,1019.1,1017.9,14.5,7.2,16.5,22.1,39.6,29.7,0.0,,110000,1
10010,99999,20200530,36.5,36.2,1017.7,1016.5,0.1,10.1,14.8,19.4,38.3,34.2,0.08,,110000,1
10010,99999,20200531,36.2,35.8,1019.1,1017.9,0.2,5.1,7.2,10.9,38.3,34.0,0.01,,100000,1
10010,99999,20200601,39.1,36.1,1013.9,1012.7,17.0,10.3,23.1,28.9,44.8,33.1,0.07,,110000,1
10010,99999,20200602,33.1,29.7,1018.7,1017.5,6.4,17.1,29.3,36.7,37.4,30.7,0.03,,101000,1
10010,99999,20200603,32.4,30.4,1021.5,1020.3,19.7,5.1,11.7,14.0,36.5,28.9,0.01,,100000,1
10010,99999,20200604,33.0,28.8,1020.8,1019.7,16.9,13.3,21.4,31.1,35.8,28.6,0.0,,101000,1
10010,99999,20200606,32.5,30.7,1013.9,1012.7,4.9,22.6,26.4,36.5,36.9,29.8,0.0,,111000,1
10010,99999,20200607,29.2,25.7,1011.8,1010.6,7.4,19.7,25.1,32.8,32.9,27.3,0.06,,1000,1
10010,99999,20200608,32.2,28.2,1016.0,1014.8,28.5,7.2,17.3,23.7,36.0,28.0,0.01,,0,1
10010,99999,20200609,38.6,37.8,1016.9,1015.7,1.4,5.9,11.1,15.9,39.7,36.0,0.24,,10000,1
10010,99999,20200610,38.2,37.1,1028.4,1027.2,1.6,4.0,6.4,10.1,40.1,36.9,0.2,,100000,1
10010,99999,20200611,38.0,37.0,1025.7,1024.5,0.3,11.5,21.2,24.5,39.2,36.7,0.01,,110000,1
10010,99999,20200612,39.8,37.0,1019.6,1018.4,9.9,11.6,22.9,28.0,44.8,36.1,0.0,,0,1
10010,99999,20200613,38.1,35.7,1012.3,1011.1,7.5,15.2,30.9,38.5,41.4,36.1,0.04,,110000,1
10010,99999,20200614,37.2,33.3,1016.1,1014.9,13.7,11.6,31.5,46.6,41.7,32.5,0.0,,10000,1
10010,99999,20200615,39.5,37.7,1019.1,1017.9,22.8,6.5,14.4,18.1,41.7,38.1,0.0,,100000,1
10010,99999,20200616,38.4,37.9,1014.4,1013.2,1.0,7.8,16.1,19.0,40.1,36.9,0.39,,110000,1
10010,99999,20200617,37.5,33.9,1018.2,1017.0,24.0,14.7,26.8,37.1,40.6,34.7,0.16,,100000,1
10010,99999,20200618,35.2,34.0,1023.1,1021.9,1.2,4.7,9.1,30.7,39.4,32.4,0.0,,100000,1
10010,99999,20200619,38.8,37.0,1024.2,1023.0,12.5,7.4,10.9,14.0,43.0,32.2,0.0,,100000,1
10010,99999,20200620,42.9,40.4,1020.0,1018.8,18.1,4.9,9.7,13.6,45.9,38.8,0.0,,100000,1
10010,99999,20200622,43.7,42.3,1010.5,1009.3,5.3,3.7,7.4,21.4,51.3,40.3,0.05,,110000,1
10010,99999,20200623,41.5,40.7,1008.6,1007.4,2.4,8.5,14.6,18.6,43.7,39.4,0.1,,110000,1
10010,99999,20200624,40.7,40.3,1013.6,1012.4,1.3,8.7,14.8,17.7,42.4,38.5,0.06,,110000,1
10010,99999,20200625,44.4,42.0,1012.1,1011.0,11.6,5.5,16.1,23.3,52.2,40.5,0.13,,110000,1
10010,99999,20200626,41.1,39.4,1021.0,1019.8,13.0,5.5,10.5,14.4,43.7,37.4,0.0,,100000,1
10010,99999,20200627,42.4,41.4,1022.4,1021.2,11.0,8.9,11.1,14.2,43.2,41.7,0.0,,10000,1
10010,99999,20200628,42.6,40.1,1022.8,1021.6,8.6,9.3,15.7,21.6,45.7,40.8,0.09,,110000,1
10010,99999,20200629,38.8,35.3,1024.0,1022.8,12.3,11.6,20.2,25.8,44.6,33.3,0.0,,0,1
10010,99999,20200630,33.8,31.2,1017.0,1015.8,11.9,23.4,26.0,34.2,39.4,31.8,0.0,,0,1
10010,99999,20200701,35.2,32.3,1009.5,1008.3,13.8,22.9,26.6,35.2,40.3,32.5,0.0,,100000,1
10010,99999,20200702,41.1,31.4,1007.2,1006.0,26.9,10.8,24.7,30.3,46.9,34.2,0.0,,10000,1
10010,99999,20200703,36.4,32.4,1006.5,1005.3,15.7,5.3,9.5,13.2,45.5,33.6,0.0,,110000,1
10010,99999,20200704,35.6,33.0,1002.1,1000.9,8.1,13.6,24.1,28.0,38.3,33.4,0.0,,10000,1
10010,99999,20200705,38.7,36.7,1001.8,1000.6,9.5,19.4,24.7,36.9,41.0,35.1,0.16,,10000,1
10010,99999,20200706,36.0,33.9,1004.8,1003.6,7.1,24.0,27.2,39.6,41.2,34.2,0.17,,10000,1
10010,99999,20200707,36.3,35.0,1003.9,1002.7,3.4,23.1,34.2,43.1,38.3,34.9,0.21,0.4,10000,1
10010,99999,20200708,35.8,33.9,995.1,993.9,2.3,19.0,30.3,41.4,39.2,34.3,0.36,,11000,1
10010,99999,20200709,40.6,39.5,998.5,997.4,8.6,20.1,28.9,41.4,42.8,35.4,0.11,,110000,1
10010,99999,20200710,40.1,38.7,1005.6,1004.4,3.4,23.7,27.4,38.1,42.8,38.5,0.01,,100000,1
10010,99999,20200711,38.9,36.9,1008.6,1007.4,3.2,23.6,31.3,37.7,41.0,37.8,0.02,,110000,1
10010,99999,20200712,42.3,38.2,1014.1,1012.9,37.3,5.8,13.4,17.9,43.7,37.4,0.0,,0,0
10010,99999,20200713,42.4,40.3,1018.5,1017.3,22.8,7.3,11.7,13.4,44.2,39.9,0.0,,0,0
10010,99999,20200714,43.3,41.4,1018.7,1017.5,18.4,5.5,12.2,15.0,44.2,42.3,0.0,,10000,1
10010,99999,20200715,44.3,43.0,1014.5,1013.3,6.1,2.7,4.9,12.0,45.9,42.6,0.0,,100000,1
10010,99999,20200716,44.0,41.6,1007.5,1006.3,8.9,11.0,23.7,32.2,45.9,42.3,0.0,,100000,1
10010,99999,20200717,45.8,44.2,996.9,995.8,3.1,11.0,31.7,39.4,47.1,43.3,0.35,,110000,1
10010,99999,20200718,44.5,41.5,1000.2,999.1,6.0,8.0,19.4,24.5,49.5,41.0,0.0,,100000,1
10010,99999,20200719,45.6,42.5,1003.9,1002.8,16.6,11.7,20.6,32.8,51.8,40.3,0.0,,100000,1
10010,99999,20200720,40.7,39.2,1008.4,1007.2,1.0,23.2,29.1,37.3,46.9,38.7,0.01,,110000,1
10010,99999,20200721,39.6,37.4,1011.5,1010.3,7.1,22.8,28.0,35.5,42.6,36.7,0.12,,110000,1
10010,99999,20200722,38.6,35.6,1014.5,1013.3,9.5,11.3,21.4,26.2,42.1,36.3,0.04,,10000,1
10010,99999,20200723,40.9,37.1,1016.1,1014.9,9.7,5.3,12.0,18.3,44.6,37.6,0.0,,100000,1
10010,99999,20200724,43.0,40.3,1015.7,1014.5,22.8,9.1,17.3,23.5,48.9,38.5,0.01,,10000,1
10010,99999,20200725,39.1,37.4,1011.8,1010.6,6.2,20.1,27.0,40.2,42.8,37.4,0.0,,110000,1
10010,99999,20200726,42.1,39.6,1005.3,1004.1,15.4,18.4,40.8,54.2,49.3,36.9,0.03,,110000,1
10010,99999,20200727,45.0,43.0,1005.6,1004.4,8.6,5.5,29.7,35.9,49.6,43.2,0.0,,110000,1
10010,99999,20200728,43.5,41.6,1003.4,1002.2,3.3,17.0,35.4,46.4,46.4,41.5,0.41,,110000,1
10010,99999,20200729,42.3,41.0,1010.6,1009.4,2.8,3.7,6.2,30.1,45.0,41.4,0.04,,100000,1
10010,99999,20200730,42.9,40.2,1015.1,1013.9,18.7,9.3,20.4,29.5,46.2,41.2,0.0,,100000,1
10010,99999,20200731,41.0,38.7,1017.7,1016.5,15.8,8.9,17.9,28.0,43.0,39.2,0.0,,10000,1
10010,99999,20200801,45.4,44.5,1007.7,1006.5,2.2,13.4,19.2,27.6,47.3,40.8,0.06,0.4,110000,1
10010,99999,20200802,43.7,43.0,1007.4,1006.2,0.3,3.9,9.1,17.1,44.8,42.3,0.45,,100000,1
10010,99999,20200803,46.7,45.6,1006.0,1004.9,2.2,3.4,16.1,26.0,49.8,42.4,0.11,,110000,1
10010,99999,20200804,45.7,44.7,1001.6,1000.5,5.1,3.6,9.5,12.0,47.5,44.1,0.01,,10000,1
10010,99999,20200805,45.7,45.0,1003.6,1002.4,1.2,4.0,11.1,14.8,46.8,42.8,0.09,,110000,1
10010,99999,20200806,46.6,45.1,1007.0,1005.9,16.6,6.5,12.4,16.3,48.6,42.3,0.0,,10000,1
10010,99999,20200807,45.3,44.8,1008.1,1006.9,0.9,10.9,21.4,26.0,47.8,43.7,0.04,0.4,110000,1
10010,99999,20200808,44.1,43.5,1005.4,1004.3,2.0,11.2,16.9,19.8,45.5,41.0,0.46,,100000,1
10010,99999,20200809,42.5,40.4,1012.6,1011.4,10.9,7.7,19.4,24.5,46.2,39.9,0.01,,10000,1
10010,99999,20200810,44.1,43.8,1016.0,1014.8,0.6,10.1,17.5,18.5,45.5,43.0,0.03,,110000,1
10010,99999,20200811,43.9,43.7,1019.0,1017.8,0.2,9.4,15.7,17.9,45.9,42.3,0.01,,110000,1
10010,99999,20200812,43.4,43.2,1015.1,1013.9,0.3,8.2,15.2,18.8,45.3,41.0,0.07,,110000,1
10010,99999,20200813,43.3,42.5,1003.3,1002.2,6.0,9.7,15.2,20.0,45.1,38.8,0.04,,10000,1
10010,99999,20200814,41.7,37.5,988.9,987.8,7.4,21.8,32.2,49.0,44.8,38.7,0.73,,10000,1
10010,99999,20200815,39.4,36.3,1003.9,1002.7,9.0,19.7,28.7,49.1,42.8,37.6,0.02,,10000,1
10010,99999,20200816,40.8,37.4,1020.5,1019.3,21.1,9.5,23.3,32.2,45.0,37.8,0.01,,110000,1
10010,99999,20200817,44.0,39.3,1012.7,1011.5,17.2,8.6,32.1,39.0,50.9,37.8,0.0,,100000,1
